날짜,평균기온(℃),최고기온(℃),,,,,,,Jun-05,24.1,34.7,,,27.9,29.9,29.9,28.5,,,,,,,,,,,,,,,,
	2006-06-06,21.9,27.3,,,,,,,2007,24.8,33.2,,,30.8,24.6,24.6,29.8,,,,,,,,,,,,,,,,
	2006-06-07,21.9,26.5,,,,,,,2008,24,35.4,,,26.7,21,21,29.4,,,,,,,,,,,,,,,,
	2006-06-08,20.1,24,,,,,,,2009,24.2,34.4,,,28.4,27.8,27.8,31.5,,,,,,,,,29.9,,,,,,,
	2006-06-09,21,26.2,,,,,,,2010,25.2,33.8,,,30.4,26.1,26.1,22,,,,,,,,,29.1,,,,,,,
	2006-06-10,17.3,20.6,,,,,,,2011,24.1,34.1,,,30,31.1,31.1,28.9,,,,,,,,,27.7,,,,,,,
	2006-06-11,16.9,17.8,,,,,,,2012,25.6,36.7,,,31.1,27.1,27.1,31.5,,,,,,,,,26.3,,,,,,,
	2006-06-12,21.3,28.3,,,,,,,2013,25.9,33.9,,,31.2,24.5,24.5,27.8,,,,,,,,,32.2,,,,,,,
	2006-06-13,23.5,28.8,,,,,,,2014,24.8,35.8,,,32.4,28.7,28.7,28.1,,,,,,,,,28.4,,,,,,,
	2006-06-14,19,22.1,,,,,,,2015,25.2,36,,,32.2,29.3,29.3,34.9,,,,,,,,,25.9,,,,,,,
	2006-06-15,18.5,22.7,,,,,,,2016,26,36.6,,,26.7,26.9,26.9,30.2,,,,,,,,,27.7,,,,,,,
	2006-06-16,21.4,27.3,,,,,,,2017,25.4,35.4,,,22.5,27.1,27.1,29.9,,,,,,,,,31.3,,,,,,,
	2006-06-17,22.2,26.3,,,,,,,2018,26.6,,,,27.5,25.8,25.8,30.9,,,,,,,,,31.3,,,,,,,
	2006-06-18,21.5,27.2,,,,,,,2019,25.2,,,,29.7,27.7,27.7,27.7,,,,,,,,,26.5,,,,,,,
	2006-06-19,22.9,28.7,,,,,,,2020,24.9,,,,29.1,28.5,28.5,30.6,,,,,,,,,26.7,,,,,,,
	2006-06-20,22.5,26.2,,,,,,,2021,25.6,,,,27.5,29,29,30.9,,,,,,,,,29.6,,,,,,,
	2006-06-21,19.2,20.1,,,,,,,2022,25.5,36.1,,,25.8,30.7,30.7,30.8,,,,,,,,,29.5,,,,,,,
	2006-06-22,22.6,28.8,,,,,,,,,,,,23.1,29.1,29.1,31.3,,,,,,,,,24.5,,,,,,,
	2006-06-23,23.9,29.3,,,,,,,,,,,,29.6,25.6,25.6,29.9,,,,,,,,,24.9,,,,,,,
	2006-06-24,24.4,28.5,,,,,,,,,,,,31.1,28.6,28.6,22.6,,,,,,,,,29.1,,,,,,,
	2006-06-25,24.4,29.2,,,,,,,,,,,,31.8,28.2,28.2,29.6,,,,,,,,,29.9,,,,,,,
	2006-06-26,20.4,22.8,,,,,,,,,,,,29.6,29,29,29.1,,,,,,,,,29.3,,,,,,,
	2006-06-27,21.1,24.2,,,,,,,,,,,,26.2,23.2,23.2,31,,,,,,,,,30.7,,,,,,,
	2006-06-28,23.7,27.7,,,,,,,,,,,,29.4,27.2,27.2,30.6,,,,,,,,,31.3,,,,,,,
	2006-06-29,25,29.3,,,,,,,,,,,,29.8,29,29,29.1,,,,,,,,,30.2,,,,,,,
	2006-06-30,23.2,26.8,,,,,,,,,,,,29.7,29.5,29.5,25.3,,,,,,,,,29.4,,,,,,,
	2006-07-01,22.6,24.7,,,,,,,,,,,,31.8,29.5,29.5,31.1,,,,,,,,,25.7,,,,,,,
	2006-07-02,23,26.7,,,,,,,,,,,,30.6,28.4,28.4,31.1,,,,,,,,,26.7,,,,,,,
