일,검색량,최저기온
1,56.75256,25.4
2,50.20281,25.5
3,58.73299,25.2
4,79.71844,26
5,84.3832,27
6,100,27.4
7,96.59985,27.2
8,66.70245,25.1
9,34.55022,22
10,31.48413,21.4
11,28.39417,23.4
12,33.4407,23
13,27.55905,24.7
14,34.33548,24.5
15,42.51968,26.6
16,43.1162,24.1
17,36.7454,22.8
18,33.15437,22.4
19,29.96898,23.3
20,36.76926,25.7
21,43.40252,24.7
22,40.21713,22.9
23,26.70007,22.4
24,25.45931,22.4
25,21.51037,21.1
26,18.16988,19.9
27,14.86518,17.6
28,15.10379,16.1
29,17.91935,19.5
30,16.63087,17.9
31,16.86948,19.6
