
열대야일수
[검색조건]
자료구분 : 년
지역/지점 : 전남
기간 : 2002~2023

년,열대야일수,평균 최고기온(℃)
2002,3.7,18.7
2003,2.7,18.2
2004,7.3,19.4
2005,8.3,18.3
2006,10.7,18.8
2007,10.7,19.0
2008,12.4,19.0
2009,6.0,19.1
2010,19.3,18.6
2011,12.9,18.4
2012,17.7,18.2
2013,23.7,19.1
2014,3.6,19.0
2015,5.9,19.1
2016,15.4,19.3
2017,18.4,19.4
2018,25.7,19.1
2019,14.9,19.3
2020,16.9,18.8
2021,11.3,19.7
2022,22.6,19.3
2023,0.6,

