일,검색량,최저기온
1,36.63492,21.9
2,59.83279,24
3,86.28058,24.4
4,100,26.4
5,75.34049,26.7
6,68.23164,26.2
7,54.3406,26.4
8,29.86933,24
9,21.88572,24
10,27.99247,24.6
11,24.69826,24.7
12,21.11615,23.2
13,16.41014,24
14,15.61288,23.3
15,17.19078,23
16,14.52773,23.2
17,16.62606,22.5
18,18.97353,23.1
19,20.18048,24.3
20,18.83512,24.3
21,13.52563,20.8
22,13.54224,22.9
23,12.60104,22.3
24,14.83778,22
25,30.71088,23.6
26,48.00132,24.4
27,44.3251,26.4
28,42.80256,25.1
29,63.2488,27.3
30,55.27627,27.3
31,32.46595,25.4
