url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_aa507c546abaaead89c304f5e4638360
주제,통검
범위,합계
기간,일간 : 2022-08-01 ~ 2022-08-31
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2022-08-01,56.75256
2022-08-02,50.20281
2022-08-03,58.73299
2022-08-04,79.71844
2022-08-05,84.3832
2022-08-06,100.0
2022-08-07,96.59985
2022-08-08,66.70245
2022-08-09,34.55022
2022-08-10,31.48413
2022-08-11,28.39417
2022-08-12,33.4407
2022-08-13,27.55905
2022-08-14,34.33548
2022-08-15,42.51968
2022-08-16,43.1162
2022-08-17,36.7454
2022-08-18,33.15437
2022-08-19,29.96898
2022-08-20,36.76926
2022-08-21,43.40252
2022-08-22,40.21713
2022-08-23,26.70007
2022-08-24,25.45931
2022-08-25,21.51037
2022-08-26,18.16988
2022-08-27,14.86518
2022-08-28,15.10379
2022-08-29,17.91935
2022-08-30,16.63087
2022-08-31,16.86948
