일,검색량,최저기온
1,88.4095,25.1
2,84.8446,25
3,83.87568,24.1
4,91.9744,26.3
5,100,25.6
6,88.19012,26
7,77.58683,23.4
8,69.21389,24.4
9,83.94881,23.3
10,69.14076,24.3
11,57.38574,24.1
12,52.43144,24
13,40.23765,23.4
14,34.02193,23.4
15,36.4351,21.7
16,36.19744,22.5
17,34.04021,21.9
18,31.42595,20.6
19,29.63436,21
20,27.87934,22.6
21,22.12065,21
22,22.43144,22.4
23,30.4936,21
24,28.08043,21.1
25,29.36014,23.5
26,30.95063,22.9
27,26.34369,20.4
28,21.55393,19.7
29,23.89396,21.9
30,25.59414,21.2
31,24.25959,18.1
